feature,mean_importance
Native-country_ Cambodia,-0.004730237415763528
Education_ 12th,-0.001842880270524283
Marital status_ Widowed,-0.001520766987062283
Native-country_ China,-0.0012369524263014854
Occupation_ Transport-moving,-0.0011118316263885152
Education_ Doctorate,-0.0010088502557470736
Native-country_ Germany,-0.0009890679987653917
Native-country_ France,-0.0008781637015440657
Native-country_ Iran,-0.0008662320855078786
Occupation_ Prof-specialty,-0.0008406322578347836
Education_ Assoc-voc,-0.0007336209868531341
Education_ Assoc-acdm,-0.00043967421269947016
Occupation_ Craft-repair,-0.00042562819589938574
Native-country_ Italy,-0.00035138893613536617
Occupation_ Protective-serv,-0.0003470585405921711
Marital status_ Married-AF-spouse,-0.00034016798919713767
Native-country_ Vietnam,-0.0003200007535647531
Education_ Some-college,-0.0003068237291584897
Education_ Masters,-0.00026968353949442526
fnlwgt,-0.00023675894138410757
Native-country_ Laos,-0.00014674647206209813
Sex_ Male,-9.672775828227787e-05
Native-country_ Poland,-9.021140841636299e-05
Native-country_ Cuba,-8.649224162379232e-05
Native-country_ Philippines,-6.445716356481279e-05
Native-country_ Yugoslavia,0.0
Native-country_ Thailand,0.0
Native-country_ Taiwan,0.0
Native-country_ Ireland,0.0
Native-country_ Scotland,0.0
Native-country_ Honduras,0.0
Native-country_ Trinadad&Tobago,0.0
Workclass_ Without-pay,0.0
Occupation_ Armed-Forces,0.0
Native-country_ Hong,0.0
Native-country_ Haiti,0.0
Native-country_ Ecuador,0.0
Native-country_ Portugal,0.0
Education_ Preschool,0.0
Native-country_ Nicaragua,0.0
Native-country_ Greece,0.0
Native-country_ Puerto-Rico,4.748312345856931e-05
Native-country_ South,5.765286091172772e-05
Sex_ Female,7.6124535777089e-05
Workclass_ Self-emp-inc,9.320701039545742e-05
Race_ Amer-Indian-Eskimo,0.00015669861667332307
Marital status_ Married-spouse-absent,0.00019303980592887403
Race_ White,0.00020396625248051415
Workclass_ Private,0.00023005881741829936
Native-country_ Jamaica,0.00024053772190594236
Native-country_ Guatemala,0.00041563200327835446
Race_ Asian-Pac-Islander,0.0004665776967185953
Native-country_ Canada,0.0005236621999666569
Native-country_ Japan,0.0005379073384140009
Education_ 7th-8th,0.0007264324691762858
Occupation_ Machine-op-inspct,0.0008104233789131054
Education_ 9th,0.0008159100342956749
Education-num,0.000857597855755976
Occupation_ Sales,0.0008688310362262031
Native-country_ Hungary,0.0010015810145837857
Native-country_ Peru,0.0010370712542670745
Education_ 1st-4th,0.0010491027488395365
Marital status_ Divorced,0.0011646002032859593
Native-country_ Mexico,0.0011720989365985534
Native-country_ India,0.0012885011382888778
Workclass_ Federal-gov,0.0013107349434942294
Native-country_ Dominican-Republic,0.0013840686728172403
Education_ HS-grad,0.0013968529010161212
Race_ Black,0.0014636231590812287
Relationship_ Other-relative,0.0015068296829884753
Occupation_ Tech-support,0.0015928422354288818
Race_ Other,0.0017014438913879326
Workclass_ State-gov,0.0018627212944032135
Education_ 10th,0.0020344935263530207
Relationship_ Not-in-family,0.002216812839944926
Relationship_ Unmarried,0.0022405582562479375
Education_ Bachelors,0.002249020404771651
Native-country_ England,0.002273260054197901
Education_ 11th,0.0023653190405368953
Education_ Prof-school,0.002619452824205182
Relationship_ Husband,0.0027131320535825785
Occupation_ Other-service,0.002852873385049104
Native-country_ El-Salvador,0.003013215403524461
Education_ 5th-6th,0.003017105054189395
Occupation_ Adm-clerical,0.0030881331616929965
Workclass_ Local-gov,0.0031433059090423487
Workclass_ Self-emp-not-inc,0.003190110108502775
Marital status_ Separated,0.0033835429064105306
Occupation_ Handlers-cleaners,0.003416866402843466
Native-country_ Columbia,0.003444712634655811
Capital-loss,0.004018550860559411
Native-country_ United-States,0.004302115532338479
Occupation_ Exec-managerial,0.004602828381827473
Occupation_ Priv-house-serv,0.0064201979687461665
Occupation_ Farming-fishing,0.00848449277064659
Native-country_ Outlying-US(Guam-USVI-etc),0.008636463178861464
Relationship_ Own-child,0.011488191992768616
Relationship_ Wife,0.01807413616436907
Marital status_ Married-civ-spouse,0.022204320451705284
Marital status_ Never-married,0.02271244042544516
Hours-per-week,0.03765802833856491
Age,0.05479061283871881
Capital-gain,0.29843426252549066
