feature,mean_importance
Education_ Masters,-0.0003184200738896026
Occupation_ Handlers-cleaners,-2.235134321804111e-05
Native-country_ Laos,-2.2204460492503132e-17
Native-country_ Ireland,-1.1102230246251566e-17
Native-country_ United-States,-1.1102230246251566e-17
Race_ White,-1.1102230246251566e-17
Workclass_ Without-pay,-1.1102230246251566e-17
Relationship_ Wife,0.0
Relationship_ Unmarried,0.0
Native-country_ Vietnam,0.0
Relationship_ Not-in-family,0.0
Sex_ Female,0.0
Occupation_ Machine-op-inspct,0.0
Occupation_ Adm-clerical,0.0
Marital status_ Separated,0.0
Relationship_ Husband,0.0
Native-country_ China,0.0
Native-country_ Germany,0.0
Native-country_ France,0.0
Marital status_ Never-married,0.0
Native-country_ Greece,0.0
Native-country_ Guatemala,0.0
Native-country_ Hong,0.0
Native-country_ Hungary,0.0
Native-country_ Iran,0.0
Native-country_ Jamaica,0.0
Native-country_ Mexico,0.0
Native-country_ Poland,0.0
Native-country_ Puerto-Rico,0.0
Native-country_ Thailand,0.0
Native-country_ El-Salvador,0.0
Marital status_ Married-spouse-absent,0.0
Native-country_ Yugoslavia,0.0
Education_ Assoc-acdm,0.0
Education_ 7th-8th,0.0
Education_ 5th-6th,0.0
Education_ 1st-4th,0.0
Workclass_ Self-emp-inc,0.0
Native-country_ Cambodia,1.1102230246251566e-17
Native-country_ Canada,1.1102230246251566e-17
Native-country_ Dominican-Republic,1.1102230246251566e-17
Native-country_ Ecuador,1.1102230246251566e-17
Native-country_ England,1.1102230246251566e-17
Education_ 11th,1.1102230246251566e-17
Native-country_ Haiti,1.1102230246251566e-17
Native-country_ Honduras,1.1102230246251566e-17
Marital status_ Married-AF-spouse,1.1102230246251566e-17
Native-country_ India,1.1102230246251566e-17
Workclass_ Private,1.1102230246251566e-17
Native-country_ Italy,1.1102230246251566e-17
Native-country_ Japan,1.1102230246251566e-17
Workclass_ Federal-gov,1.1102230246251566e-17
Native-country_ Outlying-US(Guam-USVI-etc),1.1102230246251566e-17
Native-country_ Peru,1.1102230246251566e-17
Native-country_ Philippines,1.1102230246251566e-17
Native-country_ Scotland,1.1102230246251566e-17
Native-country_ South,1.1102230246251566e-17
Native-country_ Trinadad&Tobago,1.1102230246251566e-17
Education_ 9th,1.1102230246251566e-17
Workclass_ Self-emp-not-inc,1.1102230246251566e-17
Native-country_ Cuba,1.1102230246251566e-17
Race_ Black,1.1102230246251566e-17
Occupation_ Armed-Forces,1.1102230246251566e-17
Occupation_ Craft-repair,1.1102230246251566e-17
Education_ Preschool,1.1102230246251566e-17
Occupation_ Protective-serv,1.1102230246251566e-17
Occupation_ Transport-moving,1.1102230246251566e-17
Education_ Doctorate,1.1102230246251566e-17
Relationship_ Other-relative,1.1102230246251566e-17
Occupation_ Priv-house-serv,1.1102230246251566e-17
Race_ Asian-Pac-Islander,1.1102230246251566e-17
Race_ Amer-Indian-Eskimo,1.1102230246251566e-17
Education_ Bachelors,2.2204460492503132e-17
Education_ Some-college,2.2204460492503132e-17
Native-country_ Nicaragua,2.2204460492503132e-17
Marital status_ Widowed,2.2204460492503132e-17
Education_ Prof-school,2.2204460492503132e-17
Workclass_ Local-gov,2.2204460492503132e-17
Native-country_ Taiwan,2.2204460492503132e-17
Sex_ Male,2.2204460492503132e-17
Native-country_ Portugal,2.2204460492503132e-17
Education_ Assoc-voc,2.2204460492503132e-17
Workclass_ State-gov,2.2204460492503132e-17
Occupation_ Sales,2.2204460492503132e-17
Occupation_ Tech-support,2.2204460492503132e-17
Native-country_ Columbia,2.2204460492503132e-17
Education_ 12th,2.2204460492503132e-17
Education_ HS-grad,2.2204460492503132e-17
Marital status_ Divorced,2.2204460492503132e-17
Occupation_ Prof-specialty,2.2204460492503132e-17
Education_ 10th,3.3306690738754695e-17
Relationship_ Own-child,3.3306690738754695e-17
Race_ Other,3.3306690738754695e-17
Occupation_ Farming-fishing,9.75352744853053e-06
Occupation_ Exec-managerial,8.542655737978633e-05
fnlwgt,9.31415711432848e-05
Occupation_ Other-service,0.0003618159820065081
Age,0.002221376172769163
Capital-loss,0.0074117748113313175
Hours-per-week,0.007845385566830754
Education-num,0.07190323833745152
Capital-gain,0.17039326301789276
Marital status_ Married-civ-spouse,0.21817057791811328
